Codi_Regio,Pais,Any,Taxa_Atur
DE92,Alemanya,2023,3.0
DE93,Alemanya,2023,2.6
DE94,Alemanya,2023,2.5
DEA1,Alemanya,2023,4.0
DEA2,Alemanya,2023,3.3
DEA3,Alemanya,2023,3.0
DEA4,Alemanya,2023,2.4
DEA5,Alemanya,2023,3.6
DEB1,Alemanya,2023,2.5
DEB3,Alemanya,2023,3.6
DEC0,Alemanya,2023,3.4
DED2,Alemanya,2023,2.4
DED4,Alemanya,2023,3.3
DED5,Alemanya,2023,4.5
DEE0,Alemanya,2023,3.8
DEF0,Alemanya,2023,3.1
DEG0,Alemanya,2023,3.1
ES11,Espanya,2023,9.7
ES12,Espanya,2023,12.1
ES13,Espanya,2023,8.1
ES21,Espanya,2023,7.7
ES22,Espanya,2023,9.9
ES23,Espanya,2023,9.4
ES24,Espanya,2023,8.6
ES30,Espanya,2023,10.0
ES41,Espanya,2023,9.7
ES42,Espanya,2023,13.2
ES43,Espanya,2023,17.4
ES51,Espanya,2023,9.3
ES52,Espanya,2023,12.8
ES53,Espanya,2023,10.3
ES61,Espanya,2023,18.3
ES62,Espanya,2023,12.8
ES63,Espanya,2023,30.0
ES64,Espanya,2023,26.6
ES70,Espanya,2023,16.1
FR10,Franca,2023,7.6
FRB0,Franca,2023,5.7
FRC1,Franca,2023,7.3
FRC2,Franca,2023,5.7
FRD1,Franca,2023,6.0
FRD2,Franca,2023,6.9
FRE1,Franca,2023,9.8
FRE2,Franca,2023,9.1
FRF1,Franca,2023,5.9
FRF2,Franca,2023,7.1
FRF3,Franca,2023,7.4
FRG0,Franca,2023,6.1
FRH0,Franca,2023,5.4
FRI1,Franca,2023,7.2
FRI2,Franca,2023,6.3
FRI3,Franca,2023,7.3
FRJ1,Franca,2023,9.2
FRJ2,Franca,2023,6.1
FRK1,Franca,2023,7.1
FRK2,Franca,2023,6.5
FRL0,Franca,2023,7.1
FRM0,Franca,2023,6.9
FRY1,Franca,2023,18.6
FRY2,Franca,2023,10.8
FRY3,Franca,2023,14.0
FRY4,Franca,2023,19.0
ITC1,Italia,2023,6.2
ITC2,Italia,2023,4.0
ITC3,Italia,2023,6.1
ITC4,Italia,2023,4.0
ITF1,Italia,2023,8.1
ITF2,Italia,2023,9.6
ITF3,Italia,2023,17.4
ITF4,Italia,2023,11.6
ITF5,Italia,2023,7.5
ITF6,Italia,2023,15.9
ITG1,Italia,2023,15.8
ITG2,Italia,2023,10.1
ITH1,Italia,2023,2.0
ITH2,Italia,2023,3.8
ITH3,Italia,2023,4.2
ITH4,Italia,2023,4.6
ITH5,Italia,2023,5.0
ITI1,Italia,2023,5.3
ITI2,Italia,2023,6.0
ITI3,Italia,2023,5.2
ITI4,Italia,2023,7.2
PT11,Portugal,2023,7.0
PT15,Portugal,2023,5.7
PT19,Portugal,2023,5.4
PT1A,Portugal,2023,6.7
PT1B,Portugal,2023,8.4
PT1C,Portugal,2023,6.0
PT1D,Portugal,2023,5.4
PT20,Portugal,2023,6.5
PT30,Portugal,2023,6.0
BE10,Belgica,2024,11.8
BE21,Belgica,2024,4.6
BE22,Belgica,2024,3.8
BE23,Belgica,2024,3.4
BE24,Belgica,2024,4.2
BE25,Belgica,2024,2.7
BE31,Belgica,2024,6.8
BE32,Belgica,2024,8.7
BE33,Belgica,2024,7.0
BE34,Belgica,2024,5.4
BE35,Belgica,2024,6.8
DE11,Alemanya,2024,3.2
DE12,Alemanya,2024,3.2
DE13,Alemanya,2024,2.5
DE14,Alemanya,2024,2.8
DE21,Alemanya,2024,2.7
DE22,Alemanya,2024,2.0
DE23,Alemanya,2024,2.5
DE24,Alemanya,2024,2.8
DE25,Alemanya,2024,2.7
DE26,Alemanya,2024,2.7
DE27,Alemanya,2024,2.6
DE30,Alemanya,2024,5.5
DE40,Alemanya,2024,3.1
DE50,Alemanya,2024,4.8
DE60,Alemanya,2024,4.8
DE71,Alemanya,2024,3.4
DE72,Alemanya,2024,3.7
DE73,Alemanya,2024,2.2
DE80,Alemanya,2024,3.7
DE91,Alemanya,2024,3.5
DE92,Alemanya,2024,3.0
DE93,Alemanya,2024,2.6
DE94,Alemanya,2024,3.1
DEA1,Alemanya,2024,4.2
DEA2,Alemanya,2024,3.7
DEA3,Alemanya,2024,3.4
DEA4,Alemanya,2024,3.5
DEA5,Alemanya,2024,3.6
DEB1,Alemanya,2024,3.2
DEB3,Alemanya,2024,3.2
DEC0,Alemanya,2024,3.6
DED2,Alemanya,2024,3.4
DED4,Alemanya,2024,3.1
DED5,Alemanya,2024,5.2
DEE0,Alemanya,2024,4.2
DEF0,Alemanya,2024,3.4
DEG0,Alemanya,2024,3.4
ES11,Espanya,2024,9.4
ES12,Espanya,2024,10.1
ES13,Espanya,2024,7.8
ES21,Espanya,2024,8.1
